Ponto,Media_X,Media_Y,Media_Z,Mediana_X,Mediana_Y,Mediana_Z,StDev_X,StDev_Y,StDev_Z,Max_X,Max_Y,Max_Z,Min_X,Min_Y,Min_Z,mse_X,mse_Y,mse_Z,rmse_X,rmse_Y,rmse_Z
1,-0.002627875,-0.00032796214,2.8641386,-0.00263005,-0.00033398,2.86378,2.445034438211536e-05,2.1815833585047926e-05,0.0017024836402898362,-0.0025816,-0.000232801,2.86917,-0.00270207,-0.000376252,2.86073,6.906318856772e-06,1.0803033656244e-07,0.2541585974760001,0.0026279876059015195,0.0003286796868722495,0.5041414459018422
2,0.62966395,0.32987272,2.8592627999999998,0.629992,0.330033,2.8611449999999996,0.0012774401120596568,0.0006943148221975618,0.006047559835139779,0.632129,0.331204,2.8707,0.625897,0.327782,2.84185,0.0008815654643100015,0.00040558465253999915,0.2492995507140001,0.02969116811966147,0.020139132368103625,0.4992990593962701
3,0.60269488,-0.3900562,2.8288024,0.6026185,-0.3900185,2.8283750000000003,0.00125417017742386,0.0008369254338459188,0.00589349240838374,0.606448,-0.388355,2.84653,0.60019,-0.392644,2.81691,8.81959162000015e-06,0.0016051925981800013,0.21981007616600012,0.00296977972583829,0.040064854900273894,0.46883907278084247
4,-0.60720428,0.38575055,2.8428616,-0.6072120000000001,0.385753,2.84283,0.0006824072376373233,0.0004191151664247824,0.0031804674454735745,-0.605579,0.386815,2.85068,-0.608867,0.384736,2.83511,5.236267316000031e-05,0.0012782757262500017,0.23316533897400013,0.007236205715704903,0.035752982060941456,0.4828719695467942
5,-0.65208052,-0.32481711,2.8604838,-0.652047,-0.32477049999999996,2.86024,0.0006672227147745424,0.0003354188364695477,0.0029719863031074864,-0.65017,-0.323954,2.86636,-0.653358,-0.325523,2.85222,0.002712821297760002,0.0006342893294899989,0.2504927784380001,0.052084751105865926,0.025185101339680944,0.50049253584644
