Ponto,Media_X,Media_Y,Media_Z,Mediana_X,Mediana_Y,Mediana_Z,StDev_X,StDev_Y,StDev_Z,Max_X,Max_Y,Max_Z,Min_X,Min_Y,Min_Z,mse_X,mse_Y,mse_Z,rmse_X,rmse_Y,rmse_Z
1,0.0036121794000000002,-0.0056088395,2.8937381,0.00362354,-0.00561175,2.89352,3.065744877338837e-05,3.0420265220919872e-05,0.0029785810108815328,0.00369856,-0.00552006,2.9009,0.00354696,-0.00576257,2.88588,1.3048770498158e-05,3.1459996675370996e-05,0.2848851426170001,0.003612308195345187,0.005608921168582332,0.5337463279658232
2,0.64528784,0.32799042,2.8806326,0.645173,0.3278945,2.88021,0.0013693592449821866,0.0006606710420917396,0.005987837609047472,0.649175,0.329833,2.89756,0.642477,0.326675,2.86852,0.002052844845160002,0.000484853733139999,0.27109379984000015,0.04530833085824286,0.022019394477142167,0.5206666878531794
3,0.60914005,-0.39092013999999997,2.8585182,0.6090275,-0.390876,2.858245,0.0012623978816586156,0.0007737500577829966,0.005925752627474433,0.612914,-0.389408,2.8761,0.606812,-0.393217,2.84781,8.511822593000044e-05,0.0016750505598800015,0.24855515913000015,0.009225953930624217,0.04092738154194575,0.4985530655105835
4,-0.59953011,0.38643086,2.8599406,-0.599506,0.3863995,2.85986,0.001297627212151921,0.0008686287930998035,0.006235715768980733,-0.596197,0.388437,2.87442,-0.602531,0.384201,2.84383,1.8877946299999735e-06,0.001327954531160002,0.24997909883800012,0.0013739703890550093,0.03644111045454024,0.4999790984011233
5,-0.64092733,-0.32300151,2.8545562,-0.6407025,-0.32289650000000003,2.853405,0.002678246324528135,0.0013735789387250693,0.011712452044251405,-0.635701,-0.32034,2.89618,-0.650292,-0.32777,2.83182,0.001682147614270002,0.0007307863141899989,0.2447216446760001,0.041013992908152726,0.027033059652765888,0.4946934855807181
