Ponto,Media_X,Media_Y,Media_Z,Mediana_X,Mediana_Y,Mediana_Z,StDev_X,StDev_Y,StDev_Z,Max_X,Max_Y,Max_Z,Min_X,Min_Y,Min_Z,mse_X,mse_Y,mse_Z,rmse_X,rmse_Y,rmse_Z
1,0.0037344892,0.0022180202,2.8665937,0.0037399449999999997,0.0022278849999999998,2.866095,1.947290470205596e-05,4.381828834971751e-05,0.002113306880151818,0.00377387,0.00230257,2.87336,0.00368293,0.00212321,2.8639,1.3946784986993996e-05,4.9215144495780005e-06,0.2566415982850001,0.0037345394611643878,0.002218448658314634,0.5065980638385821
2,0.64046423,0.32787555,2.8811766,0.6405095000000001,0.3278755,2.88126,0.0006236208031822031,0.0003175217601705726,0.0026660553162856405,0.642539,0.328952,2.89006,0.638923,0.326911,2.87536,0.0016377389233700015,0.000489591099669999,0.2716320851600001,0.04046898717993819,0.02212670557651995,0.5211833508085232
3,0.61727101,-0.39375814,2.8887609,0.6173555,-0.3938215,2.889235,0.0009639192041982674,0.0005764150619443965,0.004526413411713235,0.619825,-0.39231,2.90066,0.614822,-0.395316,2.87744,0.00029920763525000083,0.0019151037480400022,0.27960837290300017,0.01729761935209585,0.04376189835964617,0.5287800799037348
4,-0.61159085,0.37709354,2.8623365,-0.6115465,0.3770675,2.862175,0.0003839968532857104,0.00023341701616279794,0.0017831151806528777,-0.610704,0.377778,2.86743,-0.612624,0.37654,2.85816,0.00013449378277000042,0.0007341138484000012,0.25234510693700013,0.01159714545782713,0.027094535397382276,0.502339633054172
5,-0.64620435,-0.33631766,2.8774361,-0.6461920000000001,-0.33632,2.8774550000000003,0.0004800869107976046,0.0002754863915317643,0.0020987152852363785,-0.645086,-0.335671,2.88257,-0.647511,-0.337122,2.87234,0.0021350701375300023,0.0001872815616999993,0.26774447814300006,0.04620681916698013,0.013685085374231295,0.5174403136043809
