X;Y;Z
0.630369;0.330307;2.86242
0.626926;0.328589;2.84594
0.630552;0.330431;2.86324
0.631199;0.330891;2.86578
0.630295;0.330302;2.86216
0.630943;0.330643;2.86518
0.629447;0.329797;2.85811
0.630685;0.330449;2.86387
0.627517;0.32884;2.84939
0.628581;0.329339;2.85399
0.630204;0.330254;2.86176
0.629595;0.329885;2.85892
0.629229;0.329759;2.85634
0.628078;0.329059;2.85184
0.630105;0.330191;2.86121
0.629625;0.329977;2.85915
0.628778;0.32946;2.85511
0.630259;0.330282;2.86189
0.628946;0.329589;2.85497
0.6303;0.330279;2.86199
0.631041;0.330651;2.86578
0.630378;0.330265;2.86226
0.627048;0.328468;2.84704
0.628209;0.32922;2.85179
0.628426;0.329194;2.85329
0.628057;0.329101;2.85183
0.62951;0.329797;2.85846
0.629521;0.329809;2.85844
0.630053;0.330104;2.86142
0.630621;0.330347;2.86322
0.62885;0.329522;2.85543
0.630907;0.330553;2.86524
0.630062;0.330174;2.86121
0.626955;0.3284;2.84663
0.632026;0.331156;2.8701
0.630429;0.330225;2.86249
0.628975;0.329454;2.85606
0.630122;0.330079;2.86139
0.630181;0.330133;2.86171
0.629997;0.330028;2.86096
0.630059;0.330082;2.86125
0.629195;0.329617;2.85725
0.626651;0.328297;2.84464
0.629067;0.329524;2.85648
0.627974;0.328879;2.85097
0.629123;0.329541;2.85663
0.630842;0.330509;2.86508
0.630765;0.330483;2.86453
0.630507;0.330309;2.86319
0.630706;0.330436;2.86446
0.627995;0.328893;2.85125
0.627995;0.328893;2.85125
0.629065;0.329467;2.85619
0.62819;0.328955;2.85214
0.629611;0.329753;2.85866
0.630761;0.330337;2.86368
0.62826;0.329112;2.85176
0.630074;0.330088;2.86114
0.627051;0.328366;2.84708
0.629942;0.330019;2.86071
0.630414;0.330262;2.86314
0.62907;0.329562;2.85677
0.629597;0.329798;2.85917
0.632129;0.331204;2.8707
0.630531;0.330268;2.86341
0.629697;0.329854;2.85931
0.628603;0.329212;2.854
0.627711;0.328779;2.85025
0.628697;0.329298;2.85472
0.631973;0.331076;2.87
0.625897;0.327782;2.84185
0.631208;0.330642;2.86626
0.630694;0.330402;2.86453
0.631927;0.331125;2.87019
0.630609;0.330413;2.86441
0.631471;0.330855;2.86821
0.629328;0.329756;2.85799
0.630449;0.330294;2.86341
0.630099;0.330101;2.86142
0.628766;0.329327;2.85532
0.631486;0.330851;2.86783
0.628145;0.328987;2.8524
0.632004;0.331106;2.87024
0.630067;0.330066;2.86129
0.630258;0.330203;2.86244
0.62997;0.330074;2.86115
0.629761;0.329886;2.8601
0.62993;0.330006;2.86077
0.629003;0.329484;2.85647
0.630119;0.330083;2.86162
0.630027;0.330048;2.86131
0.63016;0.330092;2.86171
0.629987;0.330038;2.86122
0.629227;0.329542;2.85741
0.631181;0.330713;2.86682
0.630934;0.330468;2.8653
0.630088;0.330022;2.86148
0.628991;0.329404;2.85634
0.628736;0.32928;2.85509
0.630617;0.330346;2.86388
