X;Y;Z
-0.60753;0.385964;2.8445
-0.607439;0.385903;2.84386
-0.608117;0.386345;2.84733
-0.607323;0.38582;2.84342
-0.606736;0.385486;2.84077
-0.608781;0.386757;2.85036
-0.608637;0.38663;2.84957
-0.608243;0.386381;2.84772
-0.60717;0.385755;2.84264
-0.608575;0.386565;2.8494
-0.605965;0.384959;2.83705
-0.607251;0.385731;2.84309
-0.606787;0.385513;2.84102
-0.606255;0.385172;2.83851
-0.607199;0.385726;2.84275
-0.606686;0.385375;2.84046
-0.607506;0.385924;2.84422
-0.607544;0.385939;2.84447
-0.606081;0.385076;2.83781
-0.60663;0.385346;2.8401
-0.606521;0.385358;2.83987
-0.605744;0.38482;2.83621
-0.607414;0.385878;2.84388
-0.60696;0.385588;2.84173
-0.606566;0.385396;2.84001
-0.606135;0.385098;2.83796
-0.606798;0.38554;2.84107
-0.607509;0.385948;2.84441
-0.607036;0.385625;2.842
-0.607544;0.385939;2.84447
-0.607372;0.385865;2.84377
-0.606907;0.385566;2.84158
-0.606698;0.385447;2.8407
-0.60696;0.385588;2.84173
-0.606969;0.38566;2.84181
-0.606081;0.385076;2.83781
-0.606915;0.385591;2.84162
-0.606761;0.385495;2.84091
-0.607564;0.386027;2.84467
-0.606424;0.385256;2.83913
-0.607836;0.386082;2.84566
-0.608143;0.386319;2.84729
-0.60751;0.385933;2.84414
-0.607284;0.385818;2.84327
-0.605579;0.384774;2.83525
-0.606393;0.385231;2.83909
-0.607872;0.386158;2.84593
-0.606699;0.38542;2.84051
-0.606535;0.385403;2.83975
-0.607391;0.385844;2.84377
-0.607559;0.386012;2.84455
-0.606671;0.385402;2.84037
-0.607052;0.385654;2.84208
-0.607929;0.386165;2.84629
-0.607036;0.385625;2.842
-0.607924;0.386195;2.84636
-0.607732;0.386054;2.84517
-0.607344;0.385845;2.84365
-0.608413;0.386445;2.84835
-0.607739;0.386096;2.84531
-0.608159;0.386298;2.84727
-0.60669;0.385441;2.84048
-0.606972;0.385615;2.84179
-0.607136;0.385676;2.84237
-0.606685;0.385443;2.84037
-0.607708;0.386019;2.84506
-0.607664;0.386025;2.84493
-0.607329;0.385842;2.84347
-0.607412;0.385857;2.84356
-0.606481;0.385292;2.83939
-0.607217;0.385751;2.84275
-0.607036;0.385625;2.842
-0.607646;0.386094;2.84489
-0.608867;0.386815;2.85068
-0.606685;0.385484;2.84037
-0.606616;0.385412;2.84012
-0.607036;0.385625;2.842
-0.607089;0.385683;2.84243
-0.606851;0.385562;2.84123
-0.607739;0.386096;2.84531
-0.607435;0.385913;2.84397
-0.605593;0.384736;2.83511
-0.607299;0.385814;2.84324
-0.607283;0.385824;2.84317
-0.606851;0.385562;2.84123
-0.606575;0.385392;2.84013
-0.606621;0.385409;2.84025
-0.607207;0.385788;2.84291
-0.607743;0.38612;2.84552
-0.608052;0.386253;2.84695
-0.607417;0.385882;2.84388
-0.606657;0.38538;2.84003
-0.60751;0.385933;2.84414
-0.608563;0.386587;2.84925
-0.607384;0.38582;2.84343
-0.608285;0.386383;2.84775
-0.606424;0.385256;2.83913
-0.607448;0.385851;2.84383
-0.607953;0.386218;2.84622
-0.607136;0.385676;2.84237
