tagX;tagY;tagZ;GPSChildX;GPSChildY;GPSChildZ;GPSMotherX;GPSMotherY;GPSMotherZ;pontosX;pontosY;pontosZ
0.0269837;0.0348656;5.54231;0.0436488;0.0527885;3.9161;0.0132385;0.0134755;9.17253;2;2;9
0.0247744;0.0347977;5.51014;0.0426377;0.0517074;3.91161;0.0134755;0.013261;9.17238;2;2;9
0.0199141;0.0275935;5.51033;0.0408864;0.0479585;3.90321;0.0148496;0.0141843;9.17301;2;2;9
0.0180556;0.0180556;5.58266;0.0401464;0.0415061;3.89896;0.0201998;0.0191327;9.17597;2;2;9
0.0180556;0.0180556;5.58266;0.0422995;0.0371119;3.89523;0.0300445;0.0285688;9.17595;2;2;9
0.00878806;0.000514098;5.55744;0.0453439;0.0368868;3.89375;0.0372793;0.0356765;9.17438;2;2;9
0.000152985;-0.0145862;5.6034;0.0575841;0.0426765;3.89182;0.05689;0.055741;9.1686;2;2;9
0.000944003;-0.017077;5.51352;0.0802187;0.0601667;3.88961;0.0819053;0.0823881;9.16097;2;2;9
0.0097482;-0.0155464;5.58605;0.113946;0.0914899;3.88414;0.108677;0.112235;9.15414;2;2;9
0.0097482;-0.0155464;5.58605;0.133841;0.111751;3.87661;0.121659;0.127013;9.15174;2;2;9
0.0268984;-0.000316654;5.58806;0.176216;0.158695;3.85228;0.145094;0.154672;9.14941;2;2;9
0.058197;0.0393131;5.61865;0.215472;0.209516;3.82977;0.164912;0.178368;9.15;2;2;9
0.0689311;0.0644406;5.68374;0.243866;0.254194;3.8095;0.182806;0.198633;9.15212;2;2;9
0.0615508;0.0742497;5.65634;0.252222;0.271271;3.80112;0.191877;0.208163;9.15318;2;2;9
0.0615508;0.0742497;5.65634;0.257718;0.29174;3.78995;0.211947;0.227783;9.15455;2;2;9
0.0379301;0.0644256;5.69397;0.254472;0.294342;3.78697;0.235718;0.25;9.15414;2;2;9
0.00811361;0.035903;5.67866;0.253355;0.286848;3.78282;0.263035;0.276314;9.15184;2;2;9
-0.02514;-0.0207584;5.6671;0.263497;0.278749;3.77899;0.292738;0.306537;9.14844;2;2;9
-0.0296978;-0.0547941;5.73175;0.274137;0.277525;3.77533;0.307766;0.322607;9.14675;2;2;9
-0.0296978;-0.0547941;5.73175;0.306108;0.285689;3.76115;0.337098;0.355789;9.14403;2;2;9
-0.0166868;-0.0687406;5.70371;0.347883;0.309493;3.73864;0.364732;0.388782;9.1429;2;2;9
0.00264218;-0.0677256;5.74144;0.369993;0.32766;3.72628;0.378076;0.404671;9.14295;2;2;9
0.0214872;-0.0501528;5.70702;0.412454;0.37433;3.7004;0.404494;0.435169;9.14416;2;2;9
0.0288925;-0.0232167;5.74717;0.44666;0.427558;3.67484;0.43192;0.464807;9.14607;2;2;9
0.0288925;-0.0232167;5.74717;0.470838;0.479366;3.6502;0.461589;0.494442;9.14775;2;2;9
0.0129037;0.00764819;5.7829;0.480028;0.502705;3.63913;0.477273;0.509546;9.1483;2;2;9
-0.00434687;0.0152052;5.87787;0.496288;0.541933;3.62168;0.510247;0.541206;9.1485;2;2;9
-0.0197444;0.00895194;5.85914;0.514996;0.570734;3.61244;0.54467;0.575623;9.14767;2;2;9
-0.0281887;-0.00564034;5.85112;0.541219;0.593635;3.61287;0.580044;0.612476;9.14631;2;2;9
-0.0281887;-0.00564034;5.85112;0.557469;0.604469;3.61355;0.597674;0.631657;9.14559;2;2;9
-0.0277041;-0.0219575;5.84378;0.594746;0.627586;3.61311;0.632317;0.670561;9.1446;2;2;9
-0.0168024;-0.0406572;5.85431;0.636469;0.655437;3.60988;0.667093;0.709306;9.14438;2;2;9
-0.0091649;-0.0439551;5.85595;0.657789;0.67172;3.60733;0.684554;0.728522;9.1446;2;2;9
-0.00637337;-0.0432775;5.86338;0.67886;0.689336;3.60447;0.720067;0.766088;9.14546;2;2;9
-0.00637337;-0.0432775;5.86338;0.719284;0.729257;3.59994;0.73813;0.784804;9.14598;2;2;9
-0.00348103;-0.0381836;5.87097;0.738574;0.750572;3.59843;0.756608;0.803337;9.14657;2;2;9
-0.00358387;-0.033983;5.88149;0.776387;0.79486;3.59687;0.794792;0.840395;9.14747;2;2;9
-0.00545848;-0.0265384;5.87531;0.795399;0.817099;3.59744;0.814318;0.859066;9.1477;2;2;9
-0.00402556;-0.0190098;5.86031;0.834838;0.86089;3.60127;0.85378;0.897201;9.14778;2;2;9
-0.00402556;-0.0190098;5.86031;0.877561;0.903211;3.60728;0.893771;0.936699;9.14733;2;2;9
-0.000334648;-0.0172609;5.85206;0.922859;0.944869;3.61456;0.93387;0.977379;9.1466;2;2;9
0.00671533;-0.0167777;5.85194;0.946129;0.965625;3.61799;0.954118;0.998069;9.14628;2;2;9
0.0134898;-0.016632;5.84581;0.992701;1.00763;3.62396;0.994769;1.03948;9.14574;2;2;9
0.0183094;-0.0139819;5.82216;1.03829;1.05103;3.62947;1.03624;1.08087;9.14554;2;2;9
0.0183094;-0.0139819;5.82216;1.06023;1.07344;3.63221;1.05734;1.10167;9.14554;2;2;9
0.0191368;-0.00985246;5.82856;1.10279;1.11926;3.63822;1.10034;1.14317;9.14577;2;2;9
0.0155288;-0.00199009;5.80588;1.14454;1.16562;3.64357;1.14461;1.18445;9.14602;2;2;9
0.0132237;0.0012957;5.82093;1.18738;1.21134;3.65042;1.18992;1.22616;9.14606;2;2;9
0.0123214;0.00353575;5.79434;1.20931;1.23365;3.65381;1.21262;1.24727;9.146;2;2;9
0.0123214;0.00353575;5.79434;1.25465;1.27764;3.66068;1.25858;1.28999;9.14555;2;2;9
0.0132313;0.00439928;5.80096;1.30206;1.32159;3.66971;1.30492;1.33342;9.14485;2;2;9
0.0154297;0.00403062;5.79513;1.35092;1.3659;3.67715;1.35209;1.37731;9.14405;2;2;9
0.0176276;0.0054047;5.77972;1.37533;1.3884;3.68083;1.37588;1.39945;9.14363;2;2;9
0.0174803;0.00783982;5.76051;1.42378;1.43451;3.68838;1.42404;1.44417;9.14298;2;2;9
0.0174803;0.00783982;5.76051;1.47127;1.48143;3.69436;1.47316;1.48912;9.14253;2;2;9
0.0157104;0.0102628;5.75811;1.51851;1.52885;3.7005;1.52322;1.53442;9.14223;2;2;9
0.0126637;0.0130699;5.75004;1.54215;1.55255;3.70337;1.5486;1.55729;9.14212;2;2;9
0.0101387;0.0150877;5.7046;1.58987;1.60031;3.70864;1.59979;1.60366;9.14176;2;2;9
0.0073229;0.0147098;5.72519;1.61427;1.62398;3.71128;1.62566;1.62685;9.1415;2;2;9
0.0073229;0.0147098;5.72519;1.66393;1.67018;3.71564;1.67756;1.67361;9.14088;2;2;9
0.0060887;0.0136297;5.73786;1.7146;1.71592;3.71712;1.72957;1.72115;9.14008;2;2;9
0.00585149;0.0116448;5.71462;1.74018;1.73881;3.71865;1.75545;1.74517;9.13969;2;2;9
0.00594266;0.0102813;5.64263;1.7917;1.78527;3.723;1.80782;1.79401;9.13883;2;2;9
0.00479461;0.00841752;5.63602;1.84326;1.8328;3.72637;1.86109;1.84363;9.13804;2;2;9
0.00479461;0.00841752;5.63602;1.86907;1.85717;3.72555;1.88777;1.86859;9.13766;2;2;9
0.00186951;0.00707357;5.71937;1.92048;1.90711;3.72028;1.94163;1.91867;9.13703;-2;2;9
-0.00225296;0.00959962;5.69783;1.97239;1.95871;3.71397;1.99566;1.96889;9.1363;-2;2;9
-0.00290115;0.0131276;5.70046;2.02503;2.01146;3.71452;2.0449;2.01986;9.13537;-2;2;9
0.00464286;0.0139286;5.74216;2.077;2.06461;3.7154;2.08818;2.07048;9.13272;-2;2;9
0.00464286;0.0139286;5.74216;2.10135;2.09065;3.71605;2.1062;2.09512;9.13056;-2;2;9
0.0139286;0.0139286;5.74216;2.14358;2.14338;3.71562;2.13336;2.14199;9.1254;-2;2;9
0.0288925;0.0232167;5.74717;2.17178;2.19267;3.71537;2.14903;2.1839;9.12066;-2;2;9
0.0331343;0.0286509;5.61695;2.17888;2.2153;3.71436;2.15412;2.20222;9.11879;-2;2;9
0.0217634;0.0328363;5.70114;2.17832;2.25509;3.71035;2.16381;2.23296;9.1162;-2;2;9
0.0217634;0.0328363;5.70114;2.17267;2.27182;3.70353;2.17774;2.25611;9.11533;-2;2;9
-0.00988408;0.0386658;5.73373;2.15714;2.29621;3.68211;2.18755;2.26544;9.11555;-2;2;9
-0.0479366;0.0364277;5.76666;2.14713;2.30668;3.66293;2.21222;2.28102;9.11616;-2;2;9
-0.0797694;0.0129871;5.78018;2.14996;2.30654;3.65846;2.22629;2.28814;9.11612;-2;2;9
