X;Y;Z
0.00370081;0.00217405;2.87293
0.00370081;0.00217405;2.87293
0.00369634;0.00212892;2.87321
0.00373018;0.00216858;2.87093
0.00371422;0.00217212;2.87221
0.00370081;0.00217405;2.87293
0.00371986;0.00213971;2.87336
0.00368293;0.00218708;2.87215
0.00371407;0.00218381;2.8699
0.00369823;0.00218213;2.86875
0.00371412;0.00216922;2.86981
0.00369808;0.00217158;2.86875
0.00371155;0.00218281;2.86788
0.00369513;0.00215371;2.86899
0.00372333;0.00216673;2.8673
0.00372666;0.0021556;2.8668
0.00372478;0.00218318;2.8672
0.00372846;0.00217454;2.86662
0.00371482;0.00217374;2.86732
0.00374438;0.00213699;2.86508
0.00371414;0.00218279;2.86504
0.0037229;0.00217852;2.86504
0.0036973;0.00217249;2.86641
0.00371105;0.00212975;2.86759
0.00371752;0.00216952;2.86682
0.00371192;0.00218451;2.86567
0.00370006;0.00215348;2.86573
0.00372943;0.00218576;2.86658
0.00374366;0.00216855;2.86542
0.00370901;0.00218155;2.86607
0.00372943;0.00218576;2.86658
0.00374366;0.00216855;2.86542
0.00372886;0.00221716;2.86685
0.00372943;0.00218576;2.86658
0.00375907;0.0021652;2.86419
0.00371239;0.00223371;2.86597
0.00374321;0.00212321;2.86517
0.00372966;0.00218832;2.86653
0.00375738;0.00218005;2.86461
0.00373873;0.00221671;2.8664
0.00372943;0.00218576;2.86658
0.00374273;0.00222852;2.86598
0.00374202;0.00221542;2.86621
0.00373964;0.00219795;2.8662
0.00372521;0.00222725;2.86506
0.00374219;0.00221574;2.866
0.00372814;0.00223546;2.86711
0.00374458;0.00220312;2.86555
0.00372658;0.00221904;2.86723
0.00374434;0.00220056;2.8656
0.00374436;0.00224277;2.86585
0.00374445;0.00221372;2.8656
0.00374015;0.00223051;2.86632
0.00374524;0.00224566;2.86575
0.00372796;0.00223027;2.86472
0.00374376;0.00223194;2.86587
0.00377387;0.00224063;2.8639
0.00372877;0.00220404;2.86685
0.00374239;0.00221818;2.86596
0.00374524;0.00224566;2.86575
0.00374138;0.00225856;2.86395
0.00374436;0.00224272;2.86585
0.0037242;0.0022456;2.86528
0.00372855;0.002241;2.86471
0.00372757;0.00226409;2.86734
0.00374376;0.00223194;2.86587
0.00376038;0.00227354;2.86476
0.00372814;0.00223541;2.86711
0.00375923;0.00225745;2.86488
0.00373128;0.00226542;2.86685
0.00374485;0.00227438;2.86599
0.00374436;0.00224272;2.86585
0.00374422;0.002295;2.8662
0.00375816;0.00227439;2.86511
0.00372814;0.00223541;2.86711
0.00375637;0.0022588;2.86544
0.00372922;0.00228036;2.86721
0.00374224;0.00225738;2.86621
0.00374323;0.00226061;2.86611
0.00372838;0.00227502;2.86731
0.00375983;0.00223935;2.86464
0.003741;0.00226497;2.86642
0.00376038;0.00227354;2.86476
0.00375776;0.00225409;2.86501
0.0037463;0.00228007;2.86584
0.00374224;0.00225738;2.86621
0.00376055;0.00230257;2.86496
0.00374524;0.00224566;2.86575
0.00377256;0.00226848;2.86422
0.00374056;0.00224315;2.86632
0.0037439;0.00227368;2.86608
0.00375776;0.00225404;2.86501
0.0037673;0.00226991;2.86471
0.00374323;0.00226061;2.86611
0.00374131;0.00227547;2.86641
0.00375342;0.00225867;2.86541
0.00373974;0.00226174;2.8665
0.0037703;0.00226931;2.86452
0.00377092;0.00225223;2.86434
0.00375717;0.00227115;2.8652
