X;Y;Z
0.602512;-0.389864;2.82792
0.602723;-0.390024;2.82874
0.603687;-0.390509;2.83282
0.603114;-0.390246;2.8305
0.601975;-0.389513;2.82521
0.601757;-0.389403;2.82437
0.603232;-0.390356;2.8313
0.600553;-0.388665;2.81894
0.603702;-0.39057;2.83282
0.601333;-0.389152;2.82255
0.602196;-0.389643;2.82639
0.602295;-0.389809;2.82674
0.600672;-0.388732;2.81955
0.601914;-0.389451;2.82493
0.601827;-0.389457;2.82461
0.600394;-0.388507;2.81782
0.600666;-0.388723;2.81941
0.602071;-0.389581;2.82626
0.600795;-0.388769;2.81974
0.603059;-0.39024;2.8307
0.601922;-0.389481;2.82538
0.602069;-0.38957;2.82557
0.601207;-0.389045;2.8219
0.602816;-0.390001;2.82914
0.601278;-0.389136;2.82213
0.602869;-0.390026;2.82932
0.603362;-0.390277;2.8318
0.603398;-0.390517;2.83279
0.600826;-0.388782;2.81989
0.601751;-0.389323;2.82421
0.603137;-0.390215;2.83025
0.604283;-0.390999;2.83654
0.600875;-0.388885;2.8202
0.602869;-0.390105;2.82918
0.602608;-0.389958;2.82875
0.602094;-0.389593;2.82587
0.601313;-0.389147;2.82235
0.602838;-0.390079;2.82946
0.601091;-0.389027;2.82131
0.602136;-0.389705;2.82625
0.602588;-0.390052;2.82866
0.603126;-0.390329;2.83066
0.60019;-0.388355;2.81691
0.601462;-0.389298;2.82307
0.603124;-0.390324;2.83079
0.602396;-0.390013;2.82778
0.60328;-0.390344;2.83145
0.604053;-0.390894;2.83482
0.602108;-0.3897;2.82577
0.602642;-0.390003;2.82811
0.602249;-0.389826;2.82671
0.603719;-0.390727;2.83344
0.603727;-0.390735;2.83331
0.603442;-0.390486;2.83203
0.60439;-0.391248;2.83676
0.604017;-0.390966;2.83486
0.602626;-0.390044;2.82813
0.602487;-0.38998;2.82782
0.60267;-0.390011;2.82816
0.602064;-0.389606;2.82536
0.603969;-0.390931;2.83464
0.602791;-0.390141;2.82916
0.602969;-0.39028;2.83031
0.604702;-0.391369;2.83877
0.601484;-0.389298;2.82332
0.602968;-0.390274;2.83089
0.602167;-0.389727;2.82627
0.603059;-0.390322;2.8303
0.603566;-0.390613;2.83328
0.600806;-0.388798;2.81959
0.603432;-0.390576;2.83286
0.602355;-0.389959;2.82761
0.60236;-0.389908;2.82739
0.601216;-0.389193;2.82192
0.600651;-0.388857;2.81969
0.601538;-0.389348;2.82366
0.602191;-0.38972;2.82718
0.604251;-0.39113;2.83608
0.60221;-0.389828;2.82689
0.601986;-0.389647;2.82555
0.605122;-0.391723;2.83997
0.602601;-0.390033;2.82836
0.603418;-0.390615;2.83201
0.604147;-0.391093;2.83602
0.602101;-0.389687;2.82613
0.603862;-0.39087;2.834
0.602049;-0.389676;2.82576
0.602875;-0.390197;2.82935
0.606448;-0.392644;2.84653
0.603434;-0.390671;2.83244
0.601316;-0.389194;2.82246
0.604956;-0.391587;2.83923
0.605449;-0.39196;2.84206
0.605125;-0.391655;2.84038
0.603303;-0.390454;2.83233
0.602611;-0.390066;2.82839
0.604412;-0.391254;2.83648
0.60401;-0.390891;2.83515
0.605056;-0.391787;2.84047
0.604943;-0.391618;2.83915
