X;Y;Z
-0.653322;-0.325523;2.86636
-0.652672;-0.325234;2.8636
-0.652782;-0.325265;2.86416
-0.65314;-0.325378;2.86538
-0.652971;-0.325305;2.86471
-0.6532;-0.325398;2.86542
-0.653062;-0.325346;2.86494
-0.652193;-0.324902;2.86093
-0.652247;-0.324961;2.86153
-0.652506;-0.325096;2.86267
-0.653006;-0.325354;2.86517
-0.653207;-0.32545;2.86584
-0.653049;-0.325298;2.86489
-0.652521;-0.325144;2.86293
-0.652415;-0.324919;2.86156
-0.65326;-0.325399;2.86566
-0.652255;-0.324825;2.86106
-0.651606;-0.324584;2.85807
-0.651237;-0.324399;2.85693
-0.651078;-0.324274;2.85587
-0.651621;-0.324697;2.85879
-0.653038;-0.325298;2.86497
-0.651339;-0.324449;2.85739
-0.65057;-0.324109;2.8542
-0.6518;-0.324675;2.85943
-0.652763;-0.32511;2.86318
-0.651452;-0.324477;2.85772
-0.652091;-0.324801;2.8607
-0.650932;-0.324269;2.85532
-0.651776;-0.324668;2.8593
-0.650995;-0.324276;2.85598
-0.651924;-0.324774;2.85995
-0.651512;-0.324557;2.85834
-0.65179;-0.324656;2.85939
-0.652471;-0.32499;2.86207
-0.651631;-0.324643;2.85875
-0.653236;-0.325336;2.86537
-0.652039;-0.324736;2.86029
-0.651635;-0.324608;2.85841
-0.652858;-0.325151;2.8639
-0.652654;-0.325103;2.86319
-0.652834;-0.325189;2.86398
-0.653358;-0.325412;2.86582
-0.651724;-0.324666;2.85925
-0.651779;-0.324642;2.85923
-0.651597;-0.324576;2.85834
-0.651762;-0.324597;2.85879
-0.652429;-0.324928;2.86183
-0.652278;-0.324834;2.86107
-0.65017;-0.323954;2.85222
-0.65175;-0.324614;2.85871
-0.651587;-0.324581;2.85838
-0.651003;-0.32425;2.85564
-0.652744;-0.325159;2.86337
-0.653063;-0.32526;2.86479
-0.651687;-0.324614;2.85854
-0.652001;-0.324734;2.85994
-0.652235;-0.324889;2.86124
-0.652309;-0.324913;2.86138
-0.652289;-0.324941;2.86127
-0.651444;-0.3245;2.85766
-0.651246;-0.32437;2.85671
-0.651721;-0.324676;2.85887
-0.652733;-0.325135;2.86343
-0.652645;-0.325123;2.86303
-0.652625;-0.325088;2.86286
-0.651485;-0.324496;2.85783
-0.651136;-0.324396;2.85631
-0.652165;-0.324928;2.8611
-0.651934;-0.324734;2.85963
-0.65216;-0.324847;2.86072
-0.651266;-0.324405;2.85667
-0.651985;-0.324706;2.85977
-0.652253;-0.324935;2.86103
-0.651987;-0.32478;2.85996
-0.651531;-0.324558;2.85804
-0.651267;-0.324428;2.857
-0.65134;-0.324473;2.85688
-0.652352;-0.32497;2.86166
-0.65237;-0.324928;2.86165
-0.651708;-0.324568;2.85866
-0.651324;-0.324444;2.857
-0.652802;-0.325096;2.86329
-0.652654;-0.325128;2.86307
-0.652044;-0.324766;2.86021
-0.651554;-0.324548;2.85824
-0.65205;-0.324767;2.86022
-0.651955;-0.324712;2.85973
-0.651861;-0.324735;2.8594
-0.65231;-0.324897;2.86138
-0.65121;-0.324339;2.85645
-0.65268;-0.325098;2.86274
-0.652067;-0.324806;2.86041
-0.651679;-0.324603;2.8586
-0.652652;-0.325055;2.86269
-0.652075;-0.324763;2.86026
-0.651329;-0.324489;2.85733
-0.651976;-0.324699;2.85982
-0.652097;-0.32482;2.86038
-0.651925;-0.324712;2.85958
