tagX;tagY;tagZ;GPSChildX;GPSChildY;GPSChildZ;GPSMotherX;GPSMotherY;GPSMotherZ;pontosX;pontosY;pontosZ
0.0219162;0.0410799;5.97526;0.029847;0.0641228;3.3432;0.00271737;0.0150768;9.01084;1;1;6
0.020343;0.0399683;5.99499;0.0285802;0.0624362;3.3438;0.00279666;0.0153266;9.01083;1;1;6
0.020343;0.0399683;5.99499;0.0293181;0.0644504;3.34744;0.00249505;0.0154208;9.0109;1;1;6
0.0193222;0.0408251;5.9773;0.0348176;0.0716527;3.35282;0.00231702;0.0153695;9.01098;1;1;6
0.0276872;0.0519425;5.9708;0.0493254;0.087676;3.35693;0.00209282;0.015422;9.01104;1;1;6
0.0458904;0.0722824;5.98542;0.0762963;0.116374;3.35546;0.00161912;0.0156632;9.01102;1;1;6
0.101971;0.128258;6.04611;0.11751;0.159669;3.34877;0.00133049;0.0159827;9.01091;1;1;6
0.101971;0.128258;6.04611;0.171536;0.217708;3.33875;0.0011226;0.016231;9.01073;1;1;6
0.156681;0.185701;6.0674;0.234487;0.286904;3.32854;0.000745992;0.0166009;9.01053;1;1;6
0.250327;0.287791;6.01721;0.267484;0.324582;3.32494;0.000537982;0.0166761;9.0104;1;1;6
0.313037;0.362679;6.01664;0.36405;0.438514;3.31606;0.000361294;0.0162484;9.01036;1;1;6
0.401307;0.470736;6.05439;0.421921;0.508995;3.30723;8.41364e-05;0.0154769;9.01041;1;1;6
0.401307;0.470736;6.05439;0.4482;0.540606;3.30346;-0.000159368;0.0149451;9.01051;1;1;6
0.449638;0.529385;6.05046;0.4963;0.596475;3.29934;-0.000618341;0.0139568;9.01069;1;1;6
0.511042;0.597838;6.05914;0.53863;0.641617;3.29942;-0.00109092;0.012977;9.01085;1;1;6
0.540067;0.622403;5.96914;0.578657;0.678957;3.29981;-0.00189074;0.0120422;9.01091;1;1;6
0.58382;0.658664;6.01868;0.618212;0.711881;3.29962;-0.00265138;0.011654;9.01082;1;1;6
0.58382;0.658664;6.01868;0.658319;0.743805;3.29594;-0.00342551;0.0112634;9.0106;1;1;6
0.634767;0.696735;5.93788;0.69871;0.776217;3.29058;-0.00409223;0.0109942;9.01032;1;1;6
0.671897;0.726095;5.94253;0.738188;0.809603;3.28838;-0.00459938;0.011109;9.01008;1;1;6
0.743561;0.792803;6.09017;0.776495;0.844195;3.27955;-0.00481318;0.0114205;9.00995;1;1;6
0.772392;0.815243;6.03553;0.813581;0.879602;3.26828;-0.00484553;0.0113208;9.00992;1;1;6
0.772392;0.815243;6.03553;0.847433;0.913093;3.26738;-0.00451033;0.0108875;9.00998;1;1;6
0.8125;0.861742;6.09017;0.877539;0.943045;3.26963;-0.00428445;0.0104503;9.01011;1;1;6
0.850661;0.897298;6.07343;0.901831;0.965957;3.27145;-0.00395129;0.00969147;9.01023;1;1;6
0.873668;0.920267;6.08997;0.911521;0.974741;3.27472;-0.00374075;0.00925097;9.01024;-1;1;6
0.886684;0.930723;6.05063;0.92607;0.986096;3.28099;-0.00385629;0.00866312;9.01027;-1;1;6
0.886684;0.930723;6.05063;0.934335;0.99055;3.28936;-0.0041193;0.00796182;9.01024;-1;1;6
0.892199;0.932511;6.04017;0.934845;0.990859;3.29924;-0.00419743;0.00762925;9.01013;-1;1;6
0.885064;0.925294;5.9893;0.926689;0.989891;3.308;-0.00429408;0.00753209;9.01;-1;1;6
0.864367;0.925714;5.99212;0.905996;0.990007;3.31332;-0.00399543;0.00736774;9.00986;-1;1;6
0.835931;0.934457;6.03176;0.871553;0.994023;3.31223;-0.00337475;0.00720734;9.00977;-1;1;6
0.835931;0.934457;6.03176;0.823332;1.00237;3.30798;-0.00264009;0.00718687;9.00974;-1;1;6
0.758198;0.948066;6.03254;0.762474;1.01488;3.30203;-0.00167073;0.00710893;9.00978;-1;1;6
0.69342;0.962827;6.03839;0.693249;1.02982;3.29868;-0.000643159;0.00667317;9.00982;-1;1;6
0.623722;0.980001;6.04982;0.657239;1.03763;3.29755;-0.000112077;0.00648956;9.00988;-1;1;6
0.555955;1.00168;6.09099;0.585471;1.05242;3.29597;0.000593749;0.00602369;9.00991;-1;1;6
0.555955;1.00168;6.09099;0.550215;1.05903;3.29588;0.000944418;0.00570375;9.00991;-1;1;6
0.485625;1.00953;6.06081;0.482245;1.06953;3.2976;0.00106201;0.00562346;9.00988;-1;1;6
0.423384;1.01788;6.05721;0.419093;1.07565;3.30407;0.000911272;0.00563543;9.00984;-1;1;6
0.366634;1.02192;6.05575;0.389135;1.07706;3.30737;0.00109026;0.00591174;9.00974;-1;1;6
0.28366;1.01592;6.0279;0.331838;1.07753;3.31251;0.00110712;0.0061026;9.00971;-1;1;6
0.28366;1.01592;6.0279;0.274441;1.07599;3.31805;0.00103897;0.00609768;9.00957;-1;1;6
0.228635;1.0146;6.0198;0.214369;1.07421;3.32381;0.000920874;0.00599354;9.00945;-1;1;6
0.170885;1.01198;6.00734;0.151551;1.07369;3.32731;0.000619227;0.00577126;9.00942;-1;1;6
0.0775665;1.01733;6.02692;0.0851329;1.07511;3.32917;0.00052665;0.00542706;9.00947;-1;1;6
0.0105006;1.02545;6.04517;0.0153801;1.07886;3.32948;0.000114413;0.00456931;9.00957;-1;1;6
0.0105006;1.02545;6.04517;-0.0561238;1.08404;3.33079;-0.000488694;0.00347373;9.00969;-1;1;6
-0.093047;1.02803;5.99908;-0.129462;1.09045;3.33284;-0.00138209;0.00235784;9.0098;-1;1;6
-0.161978;1.03742;6.00741;-0.201565;1.09696;3.33546;-0.00233957;0.00141025;9.00988;-1;1;6
-0.228023;1.041;5.98752;-0.271075;1.10279;3.33569;-0.00303806;0.000670806;9.00988;-1;1;6
-0.32575;1.05367;6.01356;-0.304772;1.10518;3.33629;-0.00372101;0.000281479;9.0098;-1;1;6
-0.32575;1.05367;6.01356;-0.368879;1.10864;3.3363;-0.00399457;0.000173687;9.0097;-1;1;6
-0.385322;1.0576;6.02312;-0.429176;1.11032;3.33642;-0.00445032;0.000426536;9.00952;-1;1;6
-0.462668;1.05384;5.9959;-0.484598;1.11074;3.33855;-0.00461131;0.00109658;9.00932;-1;1;6
-0.509756;1.04906;5.97047;-0.536156;1.11071;3.342;-0.00466058;0.00179803;9.00913;-1;1;6
-0.575932;1.04366;5.94041;-0.584528;1.11068;3.34361;-0.00469528;0.00239572;9.00896;-1;1;6
