X;Y;Z
0.617615;-0.393929;2.89017
0.617142;-0.393535;2.88757
0.616372;-0.393085;2.88402
0.61724;-0.393667;2.88844
0.61865;-0.394547;2.89493
0.617159;-0.393633;2.888
0.616924;-0.393481;2.8867
0.617645;-0.393939;2.89037
0.618463;-0.394415;2.89402
0.618216;-0.394243;2.89286
0.617768;-0.393982;2.89087
0.615436;-0.392545;2.8798
0.617836;-0.394074;2.89121
0.617554;-0.393838;2.88983
0.617442;-0.393804;2.88929
0.618138;-0.394214;2.89241
0.61704;-0.39356;2.88746
0.616863;-0.393423;2.88653
0.616575;-0.393272;2.88532
0.619825;-0.395316;2.90066
0.618412;-0.394404;2.89397
0.61845;-0.394399;2.89399
0.618218;-0.394307;2.89335
0.617504;-0.393861;2.88993
0.617653;-0.393899;2.89033
0.617013;-0.393542;2.88752
0.617783;-0.394026;2.89122
0.618239;-0.394261;2.89285
0.616757;-0.393295;2.88556
0.618552;-0.39451;2.89499
0.616292;-0.393096;2.88406
0.61762;-0.393895;2.89032
0.617722;-0.394018;2.89101
0.618537;-0.394521;2.89472
0.617988;-0.394173;2.892
0.617484;-0.393861;2.88968
0.617542;-0.393853;2.88981
0.617613;-0.393931;2.89043
0.616801;-0.393419;2.88655
0.617348;-0.393761;2.88897
0.617797;-0.394074;2.89116
0.616963;-0.393564;2.88716
0.618203;-0.394242;2.89431
0.617863;-0.394118;2.89161
0.618609;-0.394638;2.89543
0.618171;-0.394297;2.89307
0.616427;-0.393213;2.88464
0.618022;-0.3942;2.89209
0.616993;-0.393602;2.88733
0.617262;-0.393748;2.88854
0.615212;-0.392452;2.87878
0.618935;-0.394744;2.89634
0.616471;-0.393252;2.88477
0.617934;-0.394182;2.89186
0.615996;-0.393049;2.88269
0.618205;-0.394403;2.89328
0.615768;-0.392885;2.8817
0.617337;-0.393821;2.88915
0.617667;-0.394028;2.89097
0.615704;-0.392927;2.88195
0.617407;-0.393881;2.88973
0.616342;-0.39321;2.88445
0.61752;-0.393907;2.89007
0.618722;-0.394631;2.89542
0.617162;-0.393708;2.88918
0.616443;-0.393294;2.88505
0.616405;-0.393297;2.88495
0.616141;-0.393192;2.88358
0.616716;-0.393436;2.8861
0.618562;-0.394578;2.89507
0.616234;-0.39316;2.88361
0.61629;-0.393175;2.88439
0.618669;-0.394674;2.89563
0.618146;-0.39434;2.89295
0.617082;-0.393626;2.8876
0.615989;-0.39305;2.88272
0.615424;-0.392706;2.88012
0.614822;-0.39231;2.87744
0.618629;-0.39464;2.89505
0.617363;-0.393865;2.8893
0.616411;-0.39332;2.88506
0.616794;-0.39355;2.88673
0.616237;-0.393194;2.88403
0.617174;-0.393793;2.88866
0.617861;-0.39422;2.8915
0.618148;-0.394334;2.89298
0.616885;-0.393589;2.88703
0.61573;-0.392828;2.88124
0.616286;-0.393228;2.88407
0.617601;-0.393983;2.89059
0.616414;-0.393329;2.88494
0.616123;-0.393155;2.88362
0.61806;-0.394317;2.89251
0.618428;-0.39453;2.89446
0.6178;-0.3942;2.89182
0.615468;-0.392772;2.88068
0.616213;-0.393221;2.88434
0.617249;-0.393811;2.88914
0.61592;-0.392965;2.88274
0.617261;-0.393822;2.88899
