X;Y;Z
0.640651;0.328014;2.88224
0.640573;0.327954;2.88161
0.640751;0.328075;2.88255
0.641217;0.328304;2.88473
0.639929;0.327644;2.87898
0.64124;0.328324;2.88462
0.64085;0.328093;2.88299
0.642059;0.328708;2.88803
0.640727;0.328049;2.88244
0.642539;0.328952;2.89006
0.640856;0.328124;2.88287
0.641466;0.328451;2.88563
0.640704;0.328065;2.88219
0.640526;0.32795;2.88119
0.640034;0.32772;2.87925
0.639498;0.327489;2.87704
0.640169;0.327802;2.87999
0.639541;0.327483;2.87715
0.639385;0.327372;2.87643
0.639546;0.3275;2.87716
0.64031;0.327849;2.88043
0.639111;0.327269;2.87536
0.639718;0.327595;2.87811
0.640287;0.327908;2.88051
0.639859;0.327645;2.8786
0.640813;0.328074;2.8827
0.63982;0.327612;2.87842
0.639916;0.327665;2.87877
0.640645;0.32803;2.88201
0.642155;0.3287;2.88842
0.640142;0.327756;2.87974
0.640532;0.327944;2.88142
0.640283;0.327855;2.88058
0.641045;0.328197;2.88353
0.640473;0.327967;2.88143
0.640328;0.327852;2.88071
0.640341;0.327864;2.88056
0.641423;0.328364;2.88541
0.641064;0.328242;2.88375
0.640986;0.328114;2.8832
0.64057;0.327992;2.88152
0.639878;0.327632;2.87861
0.640544;0.327942;2.88141
0.640657;0.327969;2.88178
0.640313;0.327837;2.88044
0.640156;0.327749;2.8798
0.639588;0.327497;2.87751
0.640966;0.328147;2.88333
0.640981;0.328153;2.88352
0.641192;0.328217;2.88435
0.640868;0.328092;2.88296
0.640749;0.32804;2.8824
0.64037;0.327805;2.88057
0.639818;0.327539;2.87822
0.641173;0.328226;2.88419
0.64077;0.328048;2.88258
0.640138;0.327717;2.87965
0.640869;0.328081;2.88289
0.640392;0.327809;2.88089
0.640094;0.32769;2.87953
0.640514;0.327881;2.88127
0.640591;0.327906;2.88149
0.640551;0.327858;2.88132
0.639913;0.327594;2.87884
0.639395;0.327202;2.87769
0.640679;0.327928;2.88196
0.640091;0.327676;2.87944
0.64069;0.327981;2.88214
0.639695;0.32748;2.8778
0.640393;0.327828;2.88088
0.63973;0.327514;2.87796
0.639948;0.327602;2.87901
0.640674;0.32797;2.88217
0.640457;0.327843;2.88117
0.641455;0.328305;2.88533
0.640051;0.327612;2.87912
0.640027;0.327582;2.87915
0.64075;0.327944;2.88235
0.640414;0.327826;2.88092
0.639354;0.327277;2.87616
0.641666;0.328407;2.88635
0.640034;0.327613;2.87927
0.640153;0.327663;2.87985
0.640551;0.327875;2.8816
0.639952;0.32756;2.87903
0.640635;0.32788;2.88182
0.640505;0.327819;2.88111
0.640757;0.327944;2.88247
0.640248;0.327678;2.88024
0.64079;0.327952;2.88261
0.641024;0.328098;2.88359
0.640651;0.327876;2.8819
0.640755;0.327955;2.88232
0.639952;0.327547;2.87896
0.638923;0.326911;2.87543
0.640008;0.327561;2.87901
0.640684;0.327882;2.88207
0.640474;0.327819;2.88125
0.640489;0.327788;2.88111
0.641202;0.328161;2.88454
